country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","10-10-2025 22:00:00",29.695300,77.002700,PM10,52,130,94
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","10-10-2025 22:00:00",28.52123,76.37138,NO2,32,39,36
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","10-10-2025 22:00:00",28.52123,76.37138,CO,26,34,30
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","10-10-2025 22:00:00",28.3153,76.9143,CO,32,62,47
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","10-10-2025 22:00:00",16.172806,75.659694,NH3,1,2,1
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","10-10-2025 22:00:00",29.432304,76.972765,PM2.5,NA,NA,NA
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","10-10-2025 22:00:00",29.536400,75.015800,SO2,5,9,7
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-10-2025 22:00:00",13.0270199,77.494094,SO2,1,12,5
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-10-2025 22:00:00",13.0270199,77.494094,OZONE,23,24,24
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","10-10-2025 22:00:00",12.921418,77.502466,NH3,5,6,5
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","10-10-2025 22:00:00",12.990328,77.5431385,CO,20,34,27
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","10-10-2025 22:00:00",12.917348,77.622813,SO2,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","10-10-2025 22:00:00",11.55358,76.55521,PM10,29,58,40
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","10-10-2025 22:00:00",12.920984,77.584908,NO2,6,57,30
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","10-10-2025 22:00:00",12.7816279,77.6299145,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","10-10-2025 22:00:00",12.7816279,77.6299145,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","10-10-2025 22:00:00",13.003872,77.664217,PM2.5,58,60,59
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","10-10-2025 22:00:00",15.459706,75.008381,CO,36,111,108
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","10-10-2025 22:00:00",17.336318,76.847397,PM2.5,26,50,37
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","10-10-2025 22:00:00",13.003872,77.664217,CO,16,103,28
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","10-10-2025 22:00:00",13.0270199,77.494094,NO2,16,23,20
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","10-10-2025 22:00:00",13.328028,75.797056,PM2.5,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","10-10-2025 22:00:00",13.328028,75.797056,NH3,NA,NA,NA
